Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,WHO Region
Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0,0,euro
Greenland,Denmark,71.7069,-42.6043,1/22/20,0,0,0,euro
,Denmark,56.2639,9.5018,1/22/20,0,0,0,euro
,Djibouti,11.8251,42.5903,1/22/20,0,0,0,emro
,Dominican Republic,18.7357,-70.1627,1/22/20,0,0,0,paho
,Ecuador,-1.8312,-78.1834,1/22/20,0,0,0,paho
,Egypt,26.0,30.0,1/22/20,0,0,0,emro
,El Salvador,13.7942,-88.8965,1/22/20,0,0,0,paho
,Equatorial Guinea,1.5,10.0,1/22/20,0,0,0,afro
,Eritrea,15.1794,39.7823,1/22/20,0,0,0,afro
,Estonia,58.5953,25.0136,1/22/20,0,0,0,euro
,Eswatini,-26.5225,31.4659,1/22/20,0,0,0,afro
,Ethiopia,9.145,40.4897,1/22/20,0,0,0,afro
,Fiji,-17.7134,178.065,1/22/20,0,0,0,wpro
,Finland,64.0,26.0,1/22/20,0,0,0,euro
French Guiana,France,3.9339,-53.1258,1/22/20,0,0,0,euro
French Polynesia,France,-17.6797,149.4068,1/22/20,0,0,0,euro
Guadeloupe,France,16.25,-61.5833,1/22/20,0,0,0,euro
Mayotte,France,-12.8275,45.1662,1/22/20,0,0,0,euro
New Caledonia,France,-20.9043,165.618,1/22/20,0,0,0,euro
Reunion,France,-21.1351,55.2471,1/22/20,0,0,0,euro
Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0,0,euro
St Martin,France,18.0708,-63.0501,1/22/20,0,0,0,euro
Martinique,France,14.6415,-61.0242,1/22/20,0,0,0,euro
,France,46.2276,2.2137,1/22/20,0,0,0,euro
,Gabon,-0.8037,11.6094,1/22/20,0,0,0,afro
,Gambia,13.4432,-15.3101,1/22/20,0,0,0,afro
,Georgia,42.3154,43.3569,1/22/20,0,0,0,euro
,Germany,51.0,9.0,1/22/20,0,0,0,euro
,Ghana,7.9465,-1.0232,1/22/20,0,0,0,afro
