Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-05-13,4352470,297523,1508454,2546493,85129,5220,54714,6.84,34.66,19.72,187
2020-05-14,4450385,302797,1547261,2600327,97916,5274,38807,6.8,34.77,19.57,187
2020-05-15,4547808,307982,1594429,2645397,97423,5185,47168,6.77,35.06,19.32,187
2020-05-16,4640986,312134,1650095,2678757,93178,4152,55666,6.73,35.55,18.92,187
2020-05-17,4721227,315530,1690249,2715448,80241,3396,40154,6.68,35.8,18.67,187
2020-05-18,4809574,318837,1742459,2748278,88347,3307,52210,6.63,36.23,18.3,187
2020-05-19,4905452,323646,1793806,2788000,96087,4809,51347,6.6,36.57,18.04,187
2020-05-20,5005020,328467,1851991,2824562,100087,4821,58185,6.56,37.0,17.74,187
2020-05-21,5111625,333276,1902318,2876031,106709,4809,50327,6.52,37.22,17.52,187
2020-05-22,5219844,338569,2010091,2871184,108219,5293,107773,6.49,38.51,16.84,187
2020-05-23,5320281,342549,2064352,2913380,100437,3980,54261,6.44,38.8,16.59,187
2020-05-24,5416613,345396,2119105,2952112,96332,2847,54753,6.38,39.12,16.3,187
2020-05-25,5503583,346567,2182155,2974861,87342,1171,63050,6.3,39.65,15.88,187
2020-05-26,5598475,350791,2236668,3011016,95112,4224,54513,6.27,39.95,15.68,187
2020-05-27,5701372,355974,2299163,3046235,102897,5183,62495,6.24,40.33,15.48,187
2020-05-28,5819512,360670,2365296,3093546,118193,4696,66133,6.2,40.64,15.25,187
2020-05-29,5941197,365364,2441677,3134156,121685,4694,76381,6.15,41.1,14.96,187
2020-05-30,6070143,369476,2511531,3189136,128946,4112,69854,6.09,41.38,14.71,187
2020-05-31,6178119,372357,2587139,3218623,107976,2881,75608,6.03,41.88,14.39,187
2020-06-01,6274504,375886,2641149,3257469,96385,3529,54010,5.99,42.09,14.23,187
2020-06-02,6387240,380583,2744633,3262024,113502,4697,103484,5.96,42.97,13.87,187
2020-06-03,6515027,386282,2822980,3305765,127788,5699,78347,5.93,43.33,13.68,187
2020-06-04,6642244,391456,2892326,3358462,127217,5174,69346,5.89,43.54,13.53,187
2020-06-05,6775517,396278,2960587,3418652,133273,4822,68261,5.85,43.7,13.39,187
2020-06-06,6902041,400091,3031764,3470186,126524,3813,71177,5.8,43.93,13.2,187
2020-06-07,7015130,402840,3086268,3526022,113089,2749,54504,5.74,43.99,13.05,187
2020-06-08,7118746,406584,3237190,3474972,103616,3744,150922,5.71,45.47,12.56,187
2020-06-09,7242277,411445,3318671,3512161,123531,4861,81481,5.68,45.82,12.4,187
2020-06-10,7375918,416654,3396704,3562560,133641,5209,78033,5.65,46.05,12.27,187
